nama_pengulas,ulasan,rating,nama_gerai,text_clean,word_count,sentiment,aspek_rasa,sentimen_rasa,aspek_harga,sentimen_harga,aspek_pelayanan,sentimen_pelayanan,aspek_kecepatan,sentimen_kecepatan,aspek_kebersihan,sentimen_kebersihan,aspek_stok,sentimen_stok,aspek_aplikasi,sentimen_aplikasi,rating_num
Immia,"Sekarang udah jadi Kenangan boulangerie, semakin keren tempatnya dan lebih banyak pilihan rotinya. Ada mesin untuk self order juga. Ada banyak colokan juga buat yang mau sambil wfc. Kopi nya juga makin banyak pilihan walau kopi kenangan mantan masih jadi favorit 😄 … Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka,kenang boulangerie keren tempat pilih roti mesin self order colok wfc kopi nya pilih kopi kenang favorit,17,positive,1,positive,0,None,0,None,0,None,1,negative,0,None,1,negative,5.0
Anton Kristanto,"Outlet kopi kenangan versi premium... The best banget pelayanan dan suasananya. Sangat mewah
Jenis pe…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka,outlet kopi kenang versi premium best banget layan suasana mewah pe,11,positive,1,positive,0,None,1,positive,0,None,1,positive,1,positive,0,None,5.0
Delverland,kalo makan siang sering beli kopken walaupun antrian panjang banget tapi pelayanannya tetep gercep salut banget👍kopinya juga enakkk banget😋🫰 … Lainnya,5 bintang,Kopi Kenangan - Kota Kasablanka,makan siang beli kopken antri banget layan tetep gercep salut bangetkopinya enakkk banget,13,positive,1,neutral,0,None,1,neutral,1,positive,0,None,0,None,0,None,5.0
Christian S,"Semuanya pasti udh pd tau sm KopKen kan..
Utk tempatnya di sini bagus/cozy, mirip kafe sekelas st*rb*cks, enak utk meet-up dgn tmn2, & dgn harga yg lbh affordable. Cm kl hr Minggu, suka rame bgt susah dpt tempat.. Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka,udh sm kopken kan tempat baguscozy mirip kafe kelas strbcks enak meetup tmn harga lbh affordable cm suka ramai banget susah,21,positive,1,negative,1,negative,0,None,0,None,1,negative,0,None,0,None,5.0
Jade Ayu,Pilihan kopi yg menyenangkan dengan harga standar di tengah2 mall yg memiliki banyak gerai dgn harga lbh mahal. Rasa2nya baru kali ini saya melihat KopKen dengan tempat duduk yg cukup banyak dan interior yg cantik di mall. Atau mgkn sayanya … Lainnya,4 bintang,Kopi Kenangan - Kota Kasablanka,pilih kopi senang harga standar mall milik gerai harga lbh mahal lihat kopken duduk interior cantik mall mungkin saya,19,positive,1,negative,1,positive,0,None,0,None,0,None,0,None,0,None,4.0
Asri Derulo,"Tolong yang cuma mau ngopi sendiri jangan ambil space sofa yang satu meja bisa ber 4, mubazir aja itu 3 tempat duduk harus kosong bisa lebih dari setengah jam",5 bintang,Kopi Kenangan - Kota Kasablanka,ngopi ambil space sofa meja ber mubazir duduk kosong jam,10,positive,0,None,0,None,0,None,1,negative,1,negative,1,negative,0,None,5.0
N.S Devyana,"Order kopi kenangan di kokas ini LIGHT BANGET rasanya dan WARNA nya pucet banget, saya hampir setiap hari beli di outlet lain kopi kenangan minta sugar 25ml warna nya ga gini dam kopi nya terasa. … Lainnya",1 bintang,Kopi Kenangan - Kota Kasablanka,order kopi kenang kokas terang banget warna nya pucet banget hampir beli outlet kopi kenang sugar ml warna nya ga gin dam kopi nya,24,negative,1,negative,0,None,0,None,0,None,0,None,1,negative,1,positive,1.0
Kenny Fitriyani,Gw penasaran dgn kopi dubai nya cab kokas wkt kemarin gw sdh beli di cab tebet lalu gw belilah di jam 8:40 malam. Gw perhatiin barista buat kopinya. Gw kaget. Saat di aduk kopi yg pny gw. Baristanya aduk pake gagang centong . Sumpah jorok. … Lainnya,1 bintang,Kopi Kenangan - Kota Kasablanka,penasaran kopi dubai nya cab kokas sdh beli cab tebet bilah jam malam perhati barista kopi kaget aduk kopi pny baristanya aduk pakai gagang centong sumpah jorok,27,negative,1,negative,0,None,1,negative,1,negative,0,None,0,None,0,None,1.0
Chyrio Eleyson Hutajulu,"Selalu bangga dengan brand lokal yang sekeren kopi kenangan
Makanan: 5…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka,bangga brand lokal keren kopi kenang makan,7,positive,1,positive,0,None,0,None,0,None,0,None,0,None,0,None,5.0
Laki Bini,"Nah kali ini ada inovasi menu dari @kopikenangan , yang akhirnya keluarin produk makanan @ceritaroti … Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka,inovasi menu keluarin produk makan,5,positive,1,negative,0,None,0,None,0,None,0,None,1,negative,0,None,5.0
Foodlover Gallery,"Pas ke sini rame banget, hampir semua meja full untuk kebagian meja. Kebetulan lagi ada promo beli 2 kenangan milk tea boba free milo dinosaurus, jadi aku pilih aja yg itu. Kenangan milk teanya oke, manisnya oke, aroma tehnya masih kerasa, bobanya juga enak. Milo dinosaurusnya juga enak, milonya bold rasanya.",4 bintang,Kopi Kenangan - Kota Kasablanka,pas ramai banget hampir meja full bagi meja promo beli kenang milk tea boba free milo dinosaurus pilih kenang milk teanya oke manis oke aroma teh rasa bobanya enak milo dinosaurus enak milonya bold,34,positive,1,negative,1,positive,0,None,0,None,1,negative,0,None,0,None,4.0
Wonka Wonka,"Tempatnya ckp luas, enakeun buat nongki (sendiri ato sm temen jg okeh) sambil liat lalu lalang rangorang, depannya srg dibuat tempat ""temporarily event"". Menu selain minumannya lbh byk drpd outlet lain yg sdh sy kunjungi, ada bread, cake, jg dessert. Tp mehong2 cyinnt wkwkwk. Kenangan mantan pake grass jelly msh jd favorit.",4 bintang,Kopi Kenangan - Kota Kasablanka,tempat cakep luas enakeun nongki sm teman okeh lihat lalang rangorang depan srg buat temporarily event menu minum lbh drpd outlet sdh kunjung bread cake dessert mehong cyinnt wkwkwk kenang pakai grass jelly favorit,34,positive,1,negative,1,positive,0,None,0,None,1,neutral,1,negative,0,None,4.0
Dwita Stiawati (Uwi),"Gak pernah gagal rasa kopi buatan barista disini bneran enak maygattt sesuai request !
Jadi tempat favorite wfc staffnya jga ramah tempatnya very comfort 🥰🥰🥰 … Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka,gak gagal kopi buat barista sini bneran enak maygattt request favorite wfc staffnya ramah tempat very comfort,17,positive,1,negative,0,None,1,negative,0,None,1,negative,0,None,0,None,5.0
John Doe,Overated. Orderan saya salah. Yang bikin gak peduli. Akhirnya dibuat ulang sama si kasir. Ditanya ukuran large segini? Dijawab iyah... gk ada rasa. Well... ada harga ada barang la yah. 20k buat large. Lainnya,2 bintang,Kopi Kenangan - Kota Kasablanka,overated order salah bikin gak peduli buat ulang si kasir tanya ukur large gin jawab iyah gk well harga barang yah large,22,negative,0,None,1,negative,1,positive,0,None,0,None,0,None,1,negative,2.0
